Nodal displacements, Ultimate - Load case: DL
ID	Node	ex	ey	ez	φ x	φ y	φ z	Case
[-]	[-]	[m]	[m]	[m]	[°]	[°]	[°]	[-]
BMBPL.1	880	-0.000	0.000	-0.003	0.000	-0.069	0.000	DL
BMBPL.1	904	0.000	-0.000	-0.002	0.000	-0.069	0.000	DL
BMBPL.1	989	0.000	-0.000	-0.002	0.000	-0.069	0.000	DL
BMBPL.1	946	0.000	-0.000	-0.002	0.000	-0.069	0.000	DL
BMBPL.1	947	0.000	-0.000	-0.002	0.000	-0.069	0.000	DL
BMBPL.1	913	0.000	-0.000	-0.002	0.000	-0.069	0.000	DL
BMBPL.1	1058	-0.000	0.000	-0.001	0.000	-0.069	0.000	DL
BMBPL.1	876	-0.000	0.000	-0.003	0.000	-0.069	0.000	DL
BMBPL.1	900	-0.000	0.000	-0.003	0.000	-0.069	0.000	DL
BMBPL.1	912	0.000	-0.000	-0.002	0.000	-0.069	0.000	DL
BMBPL.1	937	-0.000	0.000	-0.002	0.000	-0.069	0.000	DL
BMBPL.1	866	0.000	-0.000	-0.003	0.000	-0.069	0.000	DL
BMBPL.1	875	-0.000	0.000	-0.003	0.000	-0.069	0.000	DL
BMBPL.1	968	-0.000	-0.000	-0.002	0.000	-0.069	0.000	DL
BMBPL.1	998	-0.000	0.000	-0.002	0.000	-0.069	0.000	DL
BMBPL.1	1117	0.000	0.000	-0.001	0.000	-0.069	0.000	DL
BMBPL.1	1171	-0.000	0.000	-0.000	-0.000	-0.069	0.000	DL
BMBPL.1	1152	0.000	-0.000	-0.000	-0.000	-0.069	0.000	DL
BMBPL.1	1008	-0.000	-0.000	-0.002	-0.000	-0.069	0.000	DL
BMBPL.1	871	-0.000	-0.000	-0.003	-0.000	-0.069	0.000	DL
BMBPL.1	1121	0.000	0.000	-0.001	-0.000	-0.069	0.000	DL
BMBPL.1	1076	0.000	-0.000	-0.001	0.000	-0.069	0.000	DL
BMBPL.1	1172	-0.000	0.000	-0.000	-0.000	-0.069	0.000	DL
BMBPL.1	1116	0.000	0.000	-0.001	-0.000	-0.069	0.000	DL
BMBPL.1	1131	-0.000	0.000	-0.001	-0.000	-0.069	0.000	DL
BMBPL.1	965	-0.000	-0.000	-0.002	-0.000	-0.069	0.000	DL
BMBPL.1	1086	-0.000	-0.000	-0.001	-0.000	-0.069	0.000	DL
BMBPL.1	1130	-0.000	0.000	-0.001	-0.000	-0.069	0.000	DL
BMBPL.1	1188	0.000	-0.000	-0.000	-0.000	-0.069	0.000	DL
BMBPL.1	1157	0.000	0.000	-0.000	0.000	-0.069	0.000	DL
BMBPL.1	1077	0.000	-0.000	-0.001	-0.000	-0.069	0.000	DL
BMBPL.1	1129	-0.000	0.000	-0.001	-0.000	-0.069	0.000	DL
BMBPL.1	1158	0.000	0.000	-0.000	0.000	-0.069	0.000	DL
BMBPL.1	1073	0.000	-0.000	-0.001	0.000	-0.069	0.000	DL
BMBPL.1	1163	0.000	0.000	-0.000	-0.000	-0.069	0.000	DL
BMBPL.1	1068	0.000	-0.000	-0.001	0.000	-0.069	0.000	DL
BMBPL.1	1142	0.000	-0.000	-0.001	-0.000	-0.069	0.000	DL
BMBPL.1	953	-0.000	0.000	-0.002	0.000	-0.069	0.000	DL
BMBPL.1	1141	0.000	-0.000	-0.001	-0.000	-0.069	0.000	DL
BMBPL.1	910	0.000	-0.000	-0.002	0.000	-0.069	0.000	DL
BMBPL.1	870	-0.000	-0.000	-0.003	-0.000	-0.069	0.000	DL
BMBPL.1	1108	0.000	0.000	-0.001	0.000	-0.069	0.000	DL
BMBPL.1	869	0.000	-0.000	-0.003	-0.000	-0.069	0.000	DL
BMBPL.1	1118	0.000	0.000	-0.001	0.000	-0.069	0.000	DL
BMBPL.1	1120	0.000	0.000	-0.001	0.000	-0.069	0.000	DL
BMBPL.1	1155	0.000	0.000	-0.000	0.000	-0.069	0.000	DL
BMBPL.1	1067	0.000	-0.000	-0.001	0.000	-0.069	0.000	DL
BMBPL.1	1072	0.000	-0.000	-0.001	-0.000	-0.069	0.000	DL
BMBPL.1	1156	0.000	0.000	-0.000	0.000	-0.069	0.000	DL
BMBPL.1	966	-0.000	-0.000	-0.002	-0.000	-0.069	0.000	DL
BMBPL.1	1085	-0.000	-0.000	-0.001	-0.000	-0.069	0.000	DL
BMBPL.1	1173	-0.000	0.000	-0.000	-0.000	-0.069	0.000	DL
BMBPL.1	1162	0.000	0.000	-0.000	0.000	-0.069	0.000	DL
BMBPL.1	932	0.000	-0.000	-0.002	0.000	-0.069	0.000	DL
BMBPL.1	1185	-0.000	-0.000	-0.000	0.000	-0.069	0.000	DL
BMBPL.1	1028	0.000	-0.000	-0.001	0.000	-0.069	0.000	DL
BMBPL.1	1137	-0.000	-0.000	-0.001	0.000	-0.069	0.000	DL
BMBPL.1	1169	-0.000	0.000	-0.000	-0.000	-0.069	0.000	DL
BMBPL.1	1167	-0.000	0.000	-0.000	-0.000	-0.069	0.000	DL
BMBPL.1	1083	-0.000	-0.000	-0.001	-0.000	-0.069	0.000	DL
BMBPL.1	867	0.000	-0.000	-0.003	0.000	-0.069	0.000	DL
BMBPL.1	864	0.000	-0.000	-0.003	0.000	-0.069	0.000	DL
BMBPL.1	865	0.000	-0.000	-0.003	0.000	-0.069	0.000	DL
BMBPL.1	868	0.000	-0.000	-0.003	0.000	-0.069	0.000	DL
BMBPL.1	1029	0.000	-0.000	-0.001	-0.000	-0.069	0.000	DL
BMBPL.1	936	-0.000	-0.000	-0.002	-0.000	-0.069	0.000	DL
BMBPL.1	911	0.000	-0.000	-0.002	0.000	-0.069	0.000	DL
BMBPL.1	899	0.000	-0.000	-0.003	0.000	-0.069	0.000	DL
BMBPL.1	1186	-0.000	-0.000	-0.000	0.000	-0.069	0.000	DL
BMBPL.1	888	-0.000	-0.000	-0.003	-0.000	-0.069	0.000	DL
BMBPL.1	1098	-0.000	0.000	-0.001	0.000	-0.069	0.000	DL
